,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.9134615384615384,0.9583333333333334,0.92,0.9387755102040817,0.9705747126436781
Random Forest,0.9807692307692307,1.0,0.9733333333333334,0.9864864864864865,0.9871264367816092
XGBoost,0.9903846153846154,1.0,0.9866666666666667,0.9932885906040269,0.9898850574712644
